"Source:","/media/paul/LINUX_MEM/Fraunhofer/GIT Repos/Master Thesis/PCB/nna-fpga-power-measurement-system/Schematics_PCB/NNA-PMS_NXP_PCB/NNA-PMS_NXP_PCB/NNA-PMS_NXP_PCB.kicad_sch"
"Date:","Fr 21 Apr 2023 11:47:55 CEST"
"Tool:","Eeschema 7.0.1-3b83917a11~172~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","266"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","AVAILABILITY","DESCRIPTION","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","MPN","PACKAGE","PARTREV","PRICE","SNAPEDA_PACKAGE_ID","STANDARD"
"32","2","R21, R22","75R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"33","4","R23, R24, R25, R26","49.9R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"34","2","R27, R32","12.1kR","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"35","12","R28, R37, R40, R41, R44, R45, R48, R49, R52, R54, R57, R59","330R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"36","1","R29","1MR","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"37","1","R30","33R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"38","1","R31","1.5kR","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"39","2","R33, R34","2.2kR","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"40","7","R35, R36, R56, R58, R62, R89, R90","10kR","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"41","8","R38, R39, R42, R43, R46, R47, R53, R55","100kR","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"42","10","R65, R74, R75, R78, R79, R80, R81, R82, R84, R85","0R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"43","7","R67, R68, R69, R71, R86, R87, R88","30R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"44","1","R83","DNI","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"45","8","R91, R92, R93, R94, R95, R96, R97, R98","240R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"46","12","TP1, TP2, TP3, TP4, TP5, TP6, TP9, TP10, TP11, TP12, TP15, TP16","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","","","","","","",""
"47","8","U1, U2, U3, U4, U5, U6, U7, U8","INA226","m_pex_sensor-rescue:INA226-Analog_ADC","Package_SO:MSOP-10_3x3mm_P0.5mm","http://www.ti.com/lit/ds/symlink/ina226.pdf","","","","","","","","","","","","",""
"48","1","U9","LPC54S018JET180",":LPC54S018JET180_1","LPC540S:LPC54S018JET180","","","","","","","","","","","","","",""
"49","2","U10, U12","LTV-847S","Isolator:LTV-847S","Package_DIP:SMDIP-16_W9.53mm","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF","","","","","","","","","","","","",""
"50","1","U11","LAN8720A-CP","LAN8720A-CP:LAN8720A-CP","LAN8720A-CP:QFN50P400X400X100-25N","","","","","MICROCHIP","","","","","","B","","","IPC-7351B"
"51","2","U13, U14","LTV-827S","Isolator:LTV-827S","Package_DIP:SMDIP-8_W9.53mm","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF","","","","","","","","","","","","",""
"52","1","Y1","24MHz","403C35D24M00000:403C35D24M00000","403C35D24M00000:OSCCC320X250X75","","","In stock","Crystal 24MHz ±30ppm (Tol) ±50ppm (Stability) 18pF FUND 60Ohm 4-Pin SMD T/R","","","CTS-Frequency Controls","","403C35D24M00000","SMD-4","","--","19042","IPC-7351B"
"53","1","Y2","ABLS2-12.000MHZ-D4Y-T","ABLS2-12.000MHZ-D4Y-T:ABLS2-12.000MHZ-D4Y-T","ABLS2-12:XTAL_ABLS2-12.000MHZ-D4Y-T","","","","","Abracon","3.3 mm","","","","","11.15.2016","","","Manufacturer Recommendations"
"54","1","Y3","SSPT7F-12.5PF20-R   ","2022-12-15_14-37-59:ABS13-32.768KHZ-T","ABS13-32:XTAL_ABS13-32.768KHZ-T","","","","","Abracon","1.5 mm","","","","","09.30.2019","","","Manufacturer Recommendations"
